id	title	description	link	image_link	additional_image_link	condition	availability	price	brand	identifier_exists	item_group_id	google_product_category	shipping
43ba59b2-3cdd-439e-817a-b2e9aa702103_legacy_s	Gentle Rose Bouquet — Roses	A soft and romantic rounded bouquet, designed in a classic hand-tied style. Balanced, airy, and elegant—perfect for birthdays, anniversaries, congratulations, or simply sending warm feelings. Light texture, clean look, and timeless charm. — Roses, baby’s breath (gypsophila), mixed greenery. Price includes VAT.	https://lannabloom.shop/en/catalog/gentle-rose-bouquet	https://cdn.sanity.io/images/moaf1lxq/production/c0e6b8b5c6ac0cb15b67ce591193f749e56e7e87-1488x1994.png?w=600	https://cdn.sanity.io/images/moaf1lxq/production/94c7c9ab0f72be961400812adaf8db690375dba6-1488x1994.png?w=600,https://cdn.sanity.io/images/moaf1lxq/production/b19fe73bc00bd60aaa4a41d58be084b6cdcbcc47-1488x1994.png?w=600,https://cdn.sanity.io/images/moaf1lxq/production/41ab0fc743b76ed77e9a95e7a9d062c36877139c-1488x1994.png?w=600	new	in_stock	1049.00 THB	Lanna Bloom	no	gentle-rose-bouquet	Home & Garden > Plants > Flowers	TH:TH-50:Standard:350.00 THB
55af5544-3625-4309-97a8-3f08cbb7c423_legacy_m	Pastel Dream Bouquet — M+	A soft, pastel-toned bouquet arranged in a rounded hand-tied style. Light, airy, and beautifully balanced with gentle textures and fresh greenery—perfect for birthdays, anniversaries, get-well wishes, congratulations, or simply brightening someone’s day. Sweet, elegant, and timeless. — Roses, gerbera, hydrangea (seasonal), baby’s breath (gypsophila), eucalyptus / mixed greenery. Price includes VAT.	https://lannabloom.shop/en/catalog/pastel-dream-bouquet	https://cdn.sanity.io/images/moaf1lxq/production/f9f5900e4c04995f9bc0811a9f1bb3321dc05ac8-1488x1994.png?w=600	https://cdn.sanity.io/images/moaf1lxq/production/1aa88883acc955e9bbbe31c49362be6f3cbd291a-1488x1994.png?w=600,https://cdn.sanity.io/images/moaf1lxq/production/96539e2395e6250a3acb454fd2c3c11c24e1a57d-1488x1994.png?w=600,https://cdn.sanity.io/images/moaf1lxq/production/834f3be47b209505e04f97fa1a814c8a2fd94bd5-1488x1994.png?w=600	new	in_stock	1780.00 THB	Lanna Bloom	no	pastel-dream-bouquet	Home & Garden > Plants > Flowers	TH:TH-50:Standard:350.00 THB
77ce6dca-9b2b-4c02-97a6-5efaeb8612a1_legacy_m	Red Rose Romance — Roses	A classic romantic bouquet in a rounded hand-tied style. Lush, elegant, and full of warm feelings—perfect for anniversaries, birthdays, congratulations, or a heartfelt surprise. Timeless and always meaningful. — Roses, baby’s breath (gypsophila), mixed greenery. Price includes VAT.	https://lannabloom.shop/en/catalog/red-rose-romance	https://cdn.sanity.io/images/moaf1lxq/production/87b3150c7a8fceb8e42e104c9dfd994beb70280f-1488x1994.png?w=600	https://cdn.sanity.io/images/moaf1lxq/production/b28582fe4c9d4043b1aa3f3b47d9357497ed26fb-1488x1994.png?w=600,https://cdn.sanity.io/images/moaf1lxq/production/9438722ee13eb2fa1f0d3f7482274f852e44777d-1488x1994.png?w=600	new	in_stock	1350.00 THB	Lanna Bloom	no	red-rose-romance	Home & Garden > Plants > Flowers	TH:TH-50:Standard:350.00 THB
f26941ed-4610-4895-929a-6772ac1632f0_legacy_s	Red Roses Bouquet — 9 Red Roses	A romantic mono bouquet fresh red roses, symbolizing love and passion. Elegantly arranged by a professional florist and wrapped in premium paper. Perfect for a sweet gesture, birthdays, or a simple romantic surprise. — Red Roses, Brown Sugar Color Wrapping Price includes VAT.	https://lannabloom.shop/en/catalog/red-roses	https://cdn.sanity.io/images/moaf1lxq/production/f1846ff09651eea9fba239c00c4d2a889e89cce8-1024x1536.png?w=600	https://cdn.sanity.io/images/moaf1lxq/production/79e6a469eb97df0d971fd4d9eb12065c2f905d41-1024x1536.png?w=600	new	in_stock	1290.00 THB	Lanna Bloom	no	red-roses	Home & Garden > Plants > Flowers	TH:TH-50:Standard:350.00 THB
f26941ed-4610-4895-929a-6772ac1632f0_legacy_m	Red Roses Bouquet — 15 Red Roses	A romantic mono bouquet fresh red roses, symbolizing love and passion. Elegantly arranged by a professional florist and wrapped in premium paper. Perfect for a sweet gesture, birthdays, or a simple romantic surprise. — Red Roses, Brown Sugar Color Wrapping Price includes VAT.	https://lannabloom.shop/en/catalog/red-roses	https://cdn.sanity.io/images/moaf1lxq/production/f1846ff09651eea9fba239c00c4d2a889e89cce8-1024x1536.png?w=600	https://cdn.sanity.io/images/moaf1lxq/production/79e6a469eb97df0d971fd4d9eb12065c2f905d41-1024x1536.png?w=600	new	in_stock	1990.00 THB	Lanna Bloom	no	red-roses	Home & Garden > Plants > Flowers	TH:TH-50:Standard:350.00 THB
f26941ed-4610-4895-929a-6772ac1632f0_legacy_l	Red Roses Bouquet — 21 Red Roses	A romantic mono bouquet fresh red roses, symbolizing love and passion. Elegantly arranged by a professional florist and wrapped in premium paper. Perfect for a sweet gesture, birthdays, or a simple romantic surprise. — Red Roses, Brown Sugar Color Wrapping Price includes VAT.	https://lannabloom.shop/en/catalog/red-roses	https://cdn.sanity.io/images/moaf1lxq/production/f1846ff09651eea9fba239c00c4d2a889e89cce8-1024x1536.png?w=600	https://cdn.sanity.io/images/moaf1lxq/production/79e6a469eb97df0d971fd4d9eb12065c2f905d41-1024x1536.png?w=600	new	in_stock	2690.00 THB	Lanna Bloom	no	red-roses	Home & Garden > Plants > Flowers	TH:TH-50:Standard:350.00 THB
f26941ed-4610-4895-929a-6772ac1632f0_legacy_xl	Red Roses Bouquet — 35 Red Roses	A romantic mono bouquet fresh red roses, symbolizing love and passion. Elegantly arranged by a professional florist and wrapped in premium paper. Perfect for a sweet gesture, birthdays, or a simple romantic surprise. — Red Roses, Brown Sugar Color Wrapping Price includes VAT.	https://lannabloom.shop/en/catalog/red-roses	https://cdn.sanity.io/images/moaf1lxq/production/f1846ff09651eea9fba239c00c4d2a889e89cce8-1024x1536.png?w=600	https://cdn.sanity.io/images/moaf1lxq/production/79e6a469eb97df0d971fd4d9eb12065c2f905d41-1024x1536.png?w=600	new	in_stock	3990.00 THB	Lanna Bloom	no	red-roses	Home & Garden > Plants > Flowers	TH:TH-50:Standard:350.00 THB
87814075-94a5-4f72-9960-03e26ce2c71c_legacy_m	Red Round Rose Bouquet — Size M	A bold and romantic rose bouquet arranged with delicate filler flowers and fresh greenery for a full, elegant look. Wrapped with premium paper and finished with a ribbon — perfect for anniversaries, birthdays, congratulations, or a meaningful “I love you.” — Fresh roses  Filler flowers (seasonal, e.g., baby’s breath)  Greenery / foliage (seasonal)  Premium wrapping + ribbon Price includes VAT.	https://lannabloom.shop/en/catalog/classic-red-rose-bouquet	https://cdn.sanity.io/images/moaf1lxq/production/17f9147dfb5074c466909d43f0ea8dfd95f9c64f-1488x1994.png?w=600	https://cdn.sanity.io/images/moaf1lxq/production/3c93ba3436e5a9c26485139ecc7661c3dfa5a28a-1488x1994.png?w=600,https://cdn.sanity.io/images/moaf1lxq/production/74d63b52543523b32b68aad74e3f600d53d5b5f7-1488x1994.png?w=600,https://cdn.sanity.io/images/moaf1lxq/production/1a520072798c35666431d4080ab199a83ba65994-1488x1994.png?w=600	new	in_stock	1950.00 THB	Lanna Bloom	no	classic-red-rose-bouquet	Home & Garden > Plants > Flowers	TH:TH-50:Standard:350.00 THB
4b7abde4-db59-431b-a031-c899fb600f5a_legacy_l	Rose Cloud Bouquet — M +	A big, premium bouquet featuring fresh roses, delicate baby’s breath, and seasonal greenery for a full, elegant look. Wrapped with quality paper and finished with a ribbon — a perfect choice for big celebrations, anniversaries, birthdays, or heartfelt congratulations. — Fresh roses  Baby’s breath (Gypsophila)  Greenery / foliage (seasonal)  Premium wrapping + ribbon Price includes VAT.	https://lannabloom.shop/en/catalog/rose-cloud-bouquet	https://cdn.sanity.io/images/moaf1lxq/production/3a2ca32535acf0ae1e283742885f5cf3a9dafe7d-1488x1994.png?w=600	https://cdn.sanity.io/images/moaf1lxq/production/1aa88883acc955e9bbbe31c49362be6f3cbd291a-1488x1994.png?w=600,https://cdn.sanity.io/images/moaf1lxq/production/834f3be47b209505e04f97fa1a814c8a2fd94bd5-1488x1994.png?w=600	new	in_stock	1560.00 THB	Lanna Bloom	no	rose-cloud-bouquet	Home & Garden > Plants > Flowers	TH:TH-50:Standard:350.00 THB
32945e6a-fa30-47f4-a051-239f384ab4d3_legacy_l	Rose Whisper — Roses	A rounded hand-tied rose bouquet with a soft, elegant feel. Light and airy with delicate filler and fresh greenery—perfect for birthdays, anniversaries, congratulations, or sending gentle love and care. Clean, romantic, and timeless. — Roses, baby’s breath (gypsophila), eucalyptus or mixed greenery. Price includes VAT.	https://lannabloom.shop/en/catalog/rose-whisper	https://cdn.sanity.io/images/moaf1lxq/production/26200b5c2e67da6efdce226dc639c9470ab37c66-1488x1994.png?w=600	https://cdn.sanity.io/images/moaf1lxq/production/6b2836183ec306441333f96596fb0f4df95a7a77-1488x1994.png?w=600,https://cdn.sanity.io/images/moaf1lxq/production/7865fe17926fa268c1a8abb22b826dcacc1281bc-1488x1994.png?w=600	new	in_stock	1780.00 THB	Lanna Bloom	no	rose-whisper	Home & Garden > Plants > Flowers	TH:TH-50:Standard:350.00 THB
19b57f26-4df6-4efc-b48e-72724021c69c_legacy_m	Rose Whisper Bouquet — Classic Rose	A soft, romantic bouquet featuring fresh roses surrounded by delicate filler flowers and seasonal greenery, arranged in a full, rounded shape. Finished with quality wrapping and a ribbon, it’s a timeless choice for birthdays, anniversaries, congratulations, or a gentle “thinking of you.” — White Roses,  Filler flowers (seasonal, e.g., baby’s breath)  Greenery / foliage (seasonal)  Wrapping + ribbon Price includes VAT.	https://lannabloom.shop/en/catalog/rose-whisper-bouquet	https://cdn.sanity.io/images/moaf1lxq/production/1089f55325f7bcb310232c67dbb2f591516b1f28-1488x1994.png?w=600	https://cdn.sanity.io/images/moaf1lxq/production/289e17888207fcab6bb3a1be7f8763e2d5f2ce4a-1488x1994.png?w=600,https://cdn.sanity.io/images/moaf1lxq/production/1ec8629fea59a9f9294ded6a2528a795f9262f11-1488x1994.png?w=600,https://cdn.sanity.io/images/moaf1lxq/production/d2e7ae182eda0464765a199dab5aaa4152a9390c-1024x1536.webp?w=600	new	in_stock	1049.00 THB	Lanna Bloom	no	rose-whisper-bouquet	Home & Garden > Plants > Flowers	TH:TH-50:Standard:350.00 THB
4fa8cd57-6a6c-456e-bd7a-f963397f9486_legacy_m	Rustic Rose Bouquet — M size	A rustic-style bouquet featuring fresh roses, abundant greenery, and delicate filler flowers for a natural, garden-inspired look. Wrapped in textured paper for a warm, handmade feel and finished with a ribbon. A perfect choice for romantic moments, birthdays, anniversaries, or meaningful congratulations. — Fresh roses  Greenery / foliage (seasonal)  Filler flowers (seasonal, small blooms)  Rustic wrapping (textured paper) + ribbon Price includes VAT.	https://lannabloom.shop/en/catalog/rustic-rose-bouquet	https://cdn.sanity.io/images/moaf1lxq/production/87b3150c7a8fceb8e42e104c9dfd994beb70280f-1488x1994.png?w=600	https://cdn.sanity.io/images/moaf1lxq/production/b28582fe4c9d4043b1aa3f3b47d9357497ed26fb-1488x1994.png?w=600,https://cdn.sanity.io/images/moaf1lxq/production/9438722ee13eb2fa1f0d3f7482274f852e44777d-1488x1994.png?w=600	new	in_stock	1190.00 THB	Lanna Bloom	no	rustic-rose-bouquet	Home & Garden > Plants > Flowers	TH:TH-50:Standard:350.00 THB
4fffc29d-814c-4a87-838f-18a6ba6e3d37_legacy_s	Single Rose Bouquet — Red	A minimalist single-rose bouquet with a bold romantic feel. One deep red rose stands at the center, softened by delicate white baby’s breath and fresh eucalyptus. Wrapped in clean white paper and finished with a bright red ribbon — simple, elegant, and perfect for a meaningful gesture. — 1 × Rose (main flower)  Baby’s breath / Gypsophila (white filler)  Eucalyptus (greenery)  White wrapping paper  Red ribbon bow Price includes VAT.	https://lannabloom.shop/en/catalog/single-rose-bouquet	https://cdn.sanity.io/images/moaf1lxq/production/1574a35fb9c9c386e2951ed65b845698a0b63252-1491x1999.png?w=600	https://cdn.sanity.io/images/moaf1lxq/production/2e0df751d001b18b8782af3da3dca36c01c7728a-1491x1999.png?w=600,https://cdn.sanity.io/images/moaf1lxq/production/1ccedb7fbcebe4f06468f902c4def274dce051ca-1491x1999.png?w=600,https://cdn.sanity.io/images/moaf1lxq/production/16e28318fe71a8a49d61b7abed1f09810c38d060-1108x1477.jpg?w=600	new	in_stock	499.00 THB	Lanna Bloom	no	single-rose-bouquet	Home & Garden > Plants > Flowers	TH:TH-50:Standard:350.00 THB
aa7dbcaf-f13f-48f7-be12-139a9bbd415e_legacy_m	Soft Elegance Mix — M +	A soft mixed bouquet in white and pastel tones — thoughtfully arranged with seasonal blooms and light greenery for a clean, elegant look. Flower types may vary based on daily availability, while the overall style and color palette stay the same. — Mixed seasonal flowers in soft pastel tones, typically featuring roses, hydrangea, and/or lilies, with baby’s breath (gypsophila), assorted filler blooms (e.g., statice / carnations / pom-pom blooms), and mixed greenery (eucalyptus / seasonal greens). Price includes VAT.	https://lannabloom.shop/en/catalog/soft-elegance-mix	https://cdn.sanity.io/images/moaf1lxq/production/5e0200524bf307b8d0e9a1a0695df1c676f8fa48-1488x1994.png?w=600	https://cdn.sanity.io/images/moaf1lxq/production/ed9883ce379ee221a3a7ea367fe7ac831cb2be70-1488x1994.png?w=600,https://cdn.sanity.io/images/moaf1lxq/production/55d4cdf1e62e45b9ebdf716eb3a4d765519ada82-1488x1994.png?w=600,https://cdn.sanity.io/images/moaf1lxq/production/3d52a7effb9450a224ae4228805c2838aa0e1b46-1488x1994.png?w=600,https://cdn.sanity.io/images/moaf1lxq/production/80d1950fd8696b838f7496a15c54f562a105dfe3-1488x1994.png?w=600	new	in_stock	2380.00 THB	Lanna Bloom	no	soft-elegance-mix	Home & Garden > Plants > Flowers	TH:TH-50:Standard:350.00 THB
7b010937-b174-4ff0-afdb-f16a58a03db3_legacy_s	Sunflower Bouquet — 5 Sunflowers	A bright and cheerful mono bouquet of fresh sunflowers, symbolizing happiness and positive energy. Carefully arranged by a professional florist and wrapped in premium paper. Perfect for birthdays, thank-you gifts, or sending warm wishes. — Sunflowers Price includes VAT.	https://lannabloom.shop/en/catalog/sunflower-bouquet	https://cdn.sanity.io/images/moaf1lxq/production/13bf13c2f24264fb4f487e2c6a305df934a17ed1-1024x1536.png?w=600	https://cdn.sanity.io/images/moaf1lxq/production/70c7455995ae22b63e7fb96928a5440358460e70-1024x1536.png?w=600	new	in_stock	890.00 THB	Lanna Bloom	no	sunflower-bouquet	Home & Garden > Plants > Flowers	TH:TH-50:Standard:350.00 THB
7b010937-b174-4ff0-afdb-f16a58a03db3_legacy_m	Sunflower Bouquet — 7 Sunflowers	A bright and cheerful mono bouquet of fresh sunflowers, symbolizing happiness and positive energy. Carefully arranged by a professional florist and wrapped in premium paper. Perfect for birthdays, thank-you gifts, or sending warm wishes. — Sunflowers Price includes VAT.	https://lannabloom.shop/en/catalog/sunflower-bouquet	https://cdn.sanity.io/images/moaf1lxq/production/13bf13c2f24264fb4f487e2c6a305df934a17ed1-1024x1536.png?w=600	https://cdn.sanity.io/images/moaf1lxq/production/70c7455995ae22b63e7fb96928a5440358460e70-1024x1536.png?w=600	new	in_stock	990.00 THB	Lanna Bloom	no	sunflower-bouquet	Home & Garden > Plants > Flowers	TH:TH-50:Standard:350.00 THB
7b010937-b174-4ff0-afdb-f16a58a03db3_legacy_l	Sunflower Bouquet — 9 Sunflowers	A bright and cheerful mono bouquet of fresh sunflowers, symbolizing happiness and positive energy. Carefully arranged by a professional florist and wrapped in premium paper. Perfect for birthdays, thank-you gifts, or sending warm wishes. — Sunflowers Price includes VAT.	https://lannabloom.shop/en/catalog/sunflower-bouquet	https://cdn.sanity.io/images/moaf1lxq/production/13bf13c2f24264fb4f487e2c6a305df934a17ed1-1024x1536.png?w=600	https://cdn.sanity.io/images/moaf1lxq/production/70c7455995ae22b63e7fb96928a5440358460e70-1024x1536.png?w=600	new	in_stock	1290.00 THB	Lanna Bloom	no	sunflower-bouquet	Home & Garden > Plants > Flowers	TH:TH-50:Standard:350.00 THB
7b010937-b174-4ff0-afdb-f16a58a03db3_legacy_xl	Sunflower Bouquet — 15 Sunflowers	A bright and cheerful mono bouquet of fresh sunflowers, symbolizing happiness and positive energy. Carefully arranged by a professional florist and wrapped in premium paper. Perfect for birthdays, thank-you gifts, or sending warm wishes. — Sunflowers Price includes VAT.	https://lannabloom.shop/en/catalog/sunflower-bouquet	https://cdn.sanity.io/images/moaf1lxq/production/13bf13c2f24264fb4f487e2c6a305df934a17ed1-1024x1536.png?w=600	https://cdn.sanity.io/images/moaf1lxq/production/70c7455995ae22b63e7fb96928a5440358460e70-1024x1536.png?w=600	new	in_stock	1390.00 THB	Lanna Bloom	no	sunflower-bouquet	Home & Garden > Plants > Flowers	TH:TH-50:Standard:350.00 THB
